,진입 탈출로 개수,30m 이내 진입 탈출로 개수,최소 도로폭,교차로 개수,침엽수림 비율,산림기준 이격 거리,창문,산불 진화용수 거리,소방서와의 거리,담 유무,산림방향 담 유무,최대 경사도,최소 경사도,주건물 지붕특성,비산거리,불난 후 상태
0,"강원도 고성군 / 속초시, 옥계산불 ver1_1",,,,,,,,,,,,,,,
1065,0,0.0,0.0,7.0,96.76,174.61,35.38,16.74,14.1,0.0,,19.0,13.0,1.0,0.0,0.0
1066,3,3.0,1.9,9.0,96.7,160.46,7.56,16.75,14.1,0.0,,18.0,12.0,1.0,0.0,0.0
1067,주인 1리 마을회관,,,,,,,,,,,,,,,
1068,0,0.0,0.0,3.0,10.34,24.87,26.11,24.28,3.6,0.0,,10.0,7.0,1.0,0.0,0.0
1069,1,1.0,2.2,3.0,11.4,28.26,57.77,24.28,3.6,0.0,,10.0,8.0,1.0,0.0,0.0
1070,0,0.0,0.0,3.0,15.85,15.43,10.45,24.3,3.58,0.0,,9.0,7.0,1.0,0.0,0.0
1071,0,0.0,0.0,3.0,17.36,13.84,43.04,24.3,3.58,0.0,,10.0,7.0,1.0,1.0,0.0
1072,2,3.0,2.2,3.0,13.61,23.21,23.04,24.29,3.59,0.0,,10.0,8.0,1.0,1.0,0.0
1073,2,3.0,2.2,4.0,16.0,31.38,31.58,24.29,3.6,0.0,,10.0,7.0,1.0,1.0,0.0
1074,2,5.0,2.2,6.0,17.27,40.31,42.51,24.29,3.6,0.0,,8.0,6.0,1.0,0.0,0.0
1075,0,0.0,0.0,3.0,22.91,6.06,37.44,24.3,3.57,0.0,,12.0,8.0,1.0,1.0,0.0
1076,0,0.0,0.0,3.0,20.01,9.07,14.73,24.3,3.58,0.0,,12.0,8.0,1.0,0.0,0.0
1077,2,3.0,2.2,3.0,22.87,12.03,48.38,24.3,3.58,0.0,,12.0,10.0,1.0,0.0,0.0
1078,2,3.0,2.2,6.0,20.61,25.47,51.48,24.3,3.59,0.0,,10.0,7.0,1.0,0.0,0.0
1079,3,5.0,2.2,7.0,21.02,39.67,17.34,24.3,3.59,0.0,,7.0,6.0,1.0,1.0,0.0
1080,3,4.0,2.2,5.0,25.55,14.47,25.4,24.31,3.58,0.0,,12.0,8.0,1.0,0.0,0.0
1081,2,4.0,2.2,6.0,25.99,21.09,69.55,24.31,3.58,0.0,,10.0,7.0,1.0,0.0,0.0
1082,3,7.0,2.2,7.0,23.04,40.52,46.08,24.3,3.59,0.0,,8.0,6.0,1.0,0.0,0.0
1083,3,6.0,2.2,7.0,23.52,46.43,31.1,24.3,3.59,,,,,,0.0,0.0
1084,1,1.0,5.2,4.0,29.13,0.0,18.6,24.32,3.56,0.0,,13.0,11.0,1.0,1.0,0.0
1085,3,4.0,2.2,5.0,27.79,8.61,51.71,24.31,3.57,0.0,,13.0,9.0,1.0,1.0,0.0
1086,3,4.0,2.2,5.0,27.83,10.75,35.77,24.32,3.57,0.0,,11.0,8.0,1.0,1.0,0.0
1087,2,5.0,2.2,6.0,27.5,26.16,14.23,24.32,3.57,0.0,,9.0,5.0,1.0,1.0,0.0
1088,1,1.0,5.2,5.0,31.89,0.06,59.82,24.33,3.55,0.0,,13.0,12.0,1.0,1.0,0.0
1089,0,0.0,0.0,5.0,34.74,0.09,36.53,24.34,3.54,0.0,,15.0,12.0,1.0,0.0,0.0
1090,2,5.0,2.2,5.0,29.84,12.33,64.64,24.33,3.55,0.0,,12.0,9.0,1.0,0.0,0.0
1091,2,5.0,2.2,6.0,29.64,21.52,27.71,24.33,3.56,0.0,,10.0,8.0,1.0,0.0,0.0
1092,2,5.0,2.2,6.0,30.66,21.89,64.51,24.33,3.56,0.0,,10.0,3.0,1.0,0.0,0.0
1093,2,5.0,2.2,6.0,29.98,29.26,66.23,24.33,3.56,0.0,,10.0,2.0,1.0,1.0,0.0
1094,1,1.0,0.0,5.0,33.02,0.06,42.68,24.34,3.54,0.0,,12.0,9.0,1.0,0.0,0.0
1095,0,0.0,0.0,4.0,38.92,0.09,94.25,24.35,3.53,0.0,,21.0,5.0,1.0,0.0,0.0
1096,0,0.0,0.0,4.0,41.55,0.06,77.36,24.36,3.52,0.0,,17.0,5.0,1.0,0.0,0.0
1097,0,0.0,0.0,0.0,23.92,2.81,25.7,24.28,3.59,0.0,,7.0,7.0,1.0,0.0,0.0
1098,1,1.0,2.7,0.0,27.03,2.88,33.78,24.28,3.59,0.0,,8.0,7.0,1.0,0.0,0.0
1099,1,1.0,2.7,0.0,29.15,1.58,27.22,24.28,3.6,0.0,,10.0,7.0,1.0,0.0,0.0
1100,1,2.0,2.7,1.0,34.72,6.2,36.63,24.29,3.6,0.0,,10.0,8.0,0.0,1.0,0.0
1101,0,0.0,0.0,0.0,35.2,13.21,43.32,24.29,3.58,0.0,,8.0,7.0,0.0,0.0,0.0
1102,0,0.0,0.0,0.0,35.08,11.36,37.84,24.29,3.59,0.0,,10.0,7.0,1.0,0.0,0.0
1103,2,2.0,2.7,0.0,39.87,12.23,36.72,24.29,3.59,0.0,,11.0,7.0,1.0,0.0,0.0
1104,1,2.0,2.7,1.0,39.81,11.19,36.29,24.29,3.59,0.0,,11.0,7.0,1.0,1.0,0.0
1105,1,2.0,2.7,2.0,38.24,11.97,22.18,24.29,3.59,0.0,,10.0,8.0,1.0,0.0,0.0
1106,0,0.0,0.0,0.0,43.05,4.45,12.36,24.3,3.57,0.0,,9.0,8.0,1.0,1.0,0.0
1107,1,1.0,3.2,0.0,50.54,2.26,32.26,24.31,3.57,0.0,,12.0,9.0,1.0,1.0,0.0
1108,1,2.0,2.7,4.0,47.23,4.14,52.68,24.3,3.59,0.0,,8.0,7.0,1.0,0.0,0.0
1109,1,1.0,3.2,5.0,52.91,8.46,88.7,24.31,3.58,0.0,,9.0,7.0,1.0,0.0,0.0
1110,1,1.0,3.2,2.0,55.64,5.59,36.5,24.33,3.55,0.0,,15.0,12.0,1.0,1.0,0.0
1111,1,1.0,3.2,6.0,57.94,13.59,43.33,24.32,3.57,0.0,,9.0,2.0,0.0,1.0,0.0
1112,1,1.0,3.2,6.0,55.19,3.63,44.45,24.32,3.57,0.0,,8.0,2.0,1.0,1.0,0.0
1113,1,1.0,3.2,6.0,58.41,23.03,34.68,24.33,3.56,0.0,,10.0,4.0,1.0,0.0,0.0
