,진입 탈출로 개수,30m 이내 진입 탈출로 개수,최소 도로폭,교차로 개수,침엽수림 비율,산림기준 이격 거리,창문,산불 진화용수 거리,소방서와의 거리,담 유무,산림방향 담 유무,최대 경사도,최소 경사도,주건물 지붕특성,비산거리,불난 후 상태
0,"강릉시 안현동",,,,,,,,,,,,,,,
167,0,0.0,0.0,3.0,1.06,0.06,57.66,0.97,2.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,0,0.0,0.0,4.0,1.04,0.0,62.73,0.95,2.84,0.0,0.0,0.0,0.0,1.0,0.0,0.0
169,0,0.0,0.0,4.0,0.12,0.06,26.96,0.98,2.81,0.0,0.0,0.0,0.0,1.0,1.0,0.0
170,0,0.0,0.0,3.0,0.12,0.09,26.71,1.0,2.79,0.0,0.0,0.0,0.0,1.0,0.0,0.0
171,1,1.0,0.8,3.0,0.12,7.05,53.58,1.0,2.77,0.0,0.0,0.0,0.0,1.0,0.0,0.0
172,2,2.0,2.4,4.0,0.0,39.92,42.12,1.13,1.58,0.0,0.0,0.0,0.0,1.0,1.0,2.0
173,2,2.0,3.3,2.0,0.0,59.66,97.34,1.05,1.3,0.0,0.0,0.0,0.0,0.0,1.0,2.0
174,0,0.0,0.0,1.0,0.0,0.06,22.44,1.06,1.3,0.0,0.0,3.0,3.0,1.0,0.0,0.0
175,1,1.0,2.6,1.0,0.0,0.06,19.64,1.04,1.28,0.0,0.0,1.0,0.0,1.0,1.0,0.0
176,1,1.0,2.6,1.0,0.0,2.82,65.98,1.03,1.28,0.0,0.0,0.0,0.0,1.0,1.0,0.0
177,1,1.0,2.6,1.0,18.63,4.09,12.95,1.01,1.25,0.0,0.0,0.0,0.0,1.0,1.0,0.0
178,1,1.0,2.6,2.0,32.13,8.31,108.86,1.0,1.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0
179,3,3.0,2.7,4.0,0.04,0.09,27.75,1.15,1.35,0.0,0.0,8.0,0.0,1.0,0.0,0.0
180,0,0.0,0.0,4.0,0.04,0.06,24.62,1.14,1.34,0.0,0.0,13.0,4.0,1.0,0.0,0.0
181,0,0.0,0.0,4.0,0.04,0.0,17.63,1.14,1.33,0.0,0.0,15.0,8.0,1.0,0.0,0.0
182,0,0.0,0.0,4.0,0.04,0.06,10.8,1.13,1.33,0.0,0.0,14.0,9.0,0.0,0.0,0.0
183,0,0.0,0.0,4.0,0.04,0.06,69.47,1.14,1.33,0.0,0.0,27.0,7.0,1.0,0.0,2.0
184,0,0.0,0.0,5.0,0.04,0.0,14.69,1.12,1.32,0.0,0.0,26.0,10.0,1.0,0.0,0.0
185,0,0.0,0.0,5.0,0.04,0.06,10.45,1.12,1.32,0.0,0.0,26.0,10.0,0.0,0.0,0.0
186,0,0.0,0.0,4.0,0.04,0.09,12.95,1.13,1.32,0.0,0.0,29.0,8.0,1.0,0.0,2.0
187,0,0.0,0.0,2.0,0.0,0.06,49.94,0.96,1.14,0.0,0.0,18.0,0.0,1.0,0.0,2.0
188,1,1.0,2.2,2.0,0.56,3.87,69.38,0.92,1.1,0.0,0.0,8.0,6.0,0.0,0.0,0.0
