,진입 탈출로 개수,30m 이내 진입 탈출로 개수,최소 도로폭,교차로 개수,침엽수림 비율,산림기준 이격 거리,창문,산불 진화용수 거리,소방서와의 거리,주건물 지붕특성,불난 후 상태
0,사계 2리동 회관,,,,,,,,,,
1886,1,1.0,3.0,1.0,35.83,0.06,12.53,16.7,14.2,1.0,0.0
1887,0,0.0,0.0,5.0,40.97,2.81,29.16,16.7,14.2,1.0,0.0
1888,0,0.0,0.0,1.0,40.27,0.06,18.06,16.7,14.2,1.0,0.0
1889,0,0.0,0.0,1.0,40.96,0.06,19.01,16.7,14.2,1.0,0.0
1890,0,0.0,0.0,2.0,41.15,0.09,48.43,16.7,14.2,1.0,0.0
1891,0,0.0,0.0,3.0,40.52,0.09,12.11,16.7,14.2,1.0,0.0
1892,0,0.0,0.0,3.0,43.2,0.06,93.14,16.7,14.2,1.0,0.0
1893,0,0.0,0.0,1.0,44.7,0.06,34.99,16.7,14.2,1.0,0.0
1894,0,0.0,0.0,2.0,44.71,0.06,75.4,16.7,14.2,1.0,0.0
1895,0,0.0,0.0,2.0,49.44,0.09,106.14,16.7,14.1,1.0,0.0
1896,0,0.0,0.0,2.0,61.71,0.09,116.68,16.7,14.1,1.0,0.0
1897,1,1.0,4.2,1.0,98.01,207.0,174.1,16.6,14.2,1.0,0.0
1898,1,1.0,4.2,3.0,98.19,188.49,8.28,16.6,14.2,1.0,0.0
1899,1,1.0,4.2,3.0,98.18,175.53,241.06,16.6,14.2,1.0,0.0
1900,2,2.0,4.2,1.0,98.07,204.73,195.55,16.6,14.2,1.0,0.0
1901,2,3.0,4.2,3.0,98.18,193.27,9.37,16.6,14.2,1.0,0.0
1902,2,3.0,4.2,3.0,98.2,190.33,30.64,16.6,14.2,0.0,0.0
1903,2,2.0,4.2,3.0,98.16,169.01,298.08,16.7,14.2,1.0,0.0
1904,2,3.0,4.2,1.0,98.11,202.75,166.61,16.6,14.2,1.0,0.0
1905,3,3.0,4.2,2.0,98.18,195.52,64.92,16.7,14.2,1.0,0.0
1906,3,3.0,4.2,4.0,98.16,183.74,65.17,16.7,14.2,1.0,0.0
1907,3,3.0,4.2,4.0,96.83,174.26,42.68,16.7,14.2,1.0,0.0
1908,3,3.0,4.2,5.0,95.76,158.97,38.71,16.7,14.2,1.0,0.0
1909,3,3.0,5.0,6.0,92.33,142.87,79.76,16.7,14.2,1.0,0.0
