2,2,3.7,2,1.65,6.33,175.02,42681.99,2280.75,0,,
0,0,0,2,1.69,0.06,101.95,42669.97,2273.94,0,,
1,1,3.6,3,0,31.25,18.22,42134.51,1483.7,0,,
0,0,0,0,44.43,31.25,106.44,42192.37,1502.39,2,,
0,0,0,0,44.44,31.25,106.49,42182.69,1496.58,2,,
0,0,0,0,42.8,31.25,148.26,42190.33,1499.31,0,,
0,0,0,0,42.95,31.25,127.01,42168.34,1484.62,2,,
4,5,3.6,10,0,31.25,32.31,42097.69,1440.17,0,,
1,1,3.6,8,37.6,31.25,33.65,42126.29,1448.53,0,,
1,1,3.6,9,35.69,31.25,15.18,42122.58,1445.81,0,,
1,1,3.6,9,32.17,31.25,22.81,42114.66,1441.74,0,,
1,1,3.6,9,34.78,31.25,13.78,42122.9,1443.45,0,,
1,1,3.6,10,32.57,31.25,33.78,42119.85,1439.41,0,,
0,0,0,11,32.64,31.25,18.12,42120.93,1435.2,0,,
0,0,0,11,30.24,31.25,20.43,42116.82,1432.7,0,,
0,0,0,1,0,97.33,15.72,42139.5,1467.69,0,,
1,1,6.9,1,7.12,96.44,57.1,42144.44,1461.91,0,,
0,0,0,4,0.19,70.54,5.62,42091.66,1476.69,2,,
1,1,5.1,3,0.12,45.53,104.28,42052.74,1435.83,0,,
1,1,5.1,4,6.61,29.23,28.11,42047.26,1422.93,0,,
1,1,5.1,4,8.5,6.05,52.92,42069.89,1423.92,0,,
1,1,5.1,4,11.09,15.38,8.93,42055.12,1419.41,0,,
0,0,0,5,12.21,0.09,15.94,42063.8,1414.66,0,,
1,1,5.1,5,14.07,6.07,21.72,42052.57,1411.45,0,,
1,1,5.1,5,14.53,4.5,37.58,42048.27,1409.19,0,,
0,0,0,5,9.86,1.06,34.1,42080.18,1419.1,0,,
0,0,0,4,14.96,0.06,59.62,42042.01,1400.19,0,,
0,0,0,4,15.81,0.09,4.1,42032.23,1381.51,0,,
0,0,0,5,18.33,1.54,237.08,42055.41,1392.45,0,,
0,0,0,5,16.54,0.09,20.43,42032.4,1375.11,0,,
0,0,0,2,2.3,1.5,19.87,41594.82,750.87,0,,
1,2,2.3,2,1.76,18.92,24.48,41578.24,736.31,1,,
1,2,2.3,3,2.99,27.26,52.27,41571.29,730.05,0,,
3,3,1.7,7,2.21,68.87,106.93,41538.26,701.54,0,,
0,0,0,2,2.16,6.37,10.37,41590.41,746.19,0,,
1,2,2.3,3,2.69,25.02,28.48,41570.67,728.55,0,,
1,4,1.7,5,3.46,44.73,71.28,41552.62,711.79,0,,
0,0,0,2,2.12,11.27,14.69,41586.63,741.81,0,,
1,1,2.3,2,1.86,18.13,17.14,41579,734.32,0,,
1,2,2.3,3,1.77,23.45,56.92,41571.71,727.53,0,,
1,2,2.3,3,3.42,30.42,69.12,41563.66,720.56,0,,
1,2,2.3,3,3.71,31.65,11.09,41558.04,714.8,0,,
1,4,1.7,6,3.53,37.58,8.16,41546.94,704.53,0,,
2,4,1.7,7,3.14,53.08,49.02,41531.81,691.4,0,,
1,2,2.3,3,3.21,24.85,53.61,41560.34,716.22,0,,
1,2,2.3,3,3.71,31.65,11.09,41558.04,714.8,0,,
3,4,1.2,6,3.66,29.7,35.64,41547.53,704.14,0,,
4,5,1.2,7,3.28,40.42,30.24,41530.25,687.85,0,,
1,1,2.3,3,2.78,11.49,44.45,41555.58,710.22,0,,
3,3,1.2,5,3.79,20.79,14.4,41544.29,699.87,0,,
2,2,1.2,4,3.62,9.84,46.7,41543.94,698.4,0,,
3,4,1.2,7,3.2,43.92,6.02,41521.85,679.52,0,,
2,3,1.2,7,3,37.38,6.05,41515.06,671.34,0,,
0,1,1.2,4,3.66,7.25,22.03,41533.79,687.57,0,,
2,3,1.2,8,2.74,30,28.22,41505.65,660.2,0,,
1,2,1.2,8,3.35,20.91,85.45,41511.06,664.89,0,,
2,2,1.2,8,3.13,15.69,18.79,41501.71,654.69,0,,
2,2,1.2,6,2.55,6.28,15.94,41507.11,659.57,0,,
1,2,1.2,5,1.83,3.94,14.77,41503.25,655.5,0,,
0,1,7.8,4,1.1,0,40.55,41502.54,654.36,0,,
1,1,2.6,4,19.51,0,100.68,42208.92,2561.48,0,,
1,1,2.8,4,29.33,0.06,71.54,42206.92,2586.63,0,,
4,5,1.8,5,21.1,0.75,195.84,41939.36,2304.82,0,,
1,1,1.5,2,54.83,0,74.19,42157.37,2182.36,0,,
1,1,1.5,3,54.13,0.06,140.4,42143.86,2171.53,0,,
1,1,1.5,3,54.13,0.06,140.4,42143.86,2171.53,0,,
1,1,1.5,3,45.04,0,126.95,42150.93,2191.17,0,,
1,2,5,11,44.57,28.02,81.1,42097.93,2147.82,0,,
1,2,5,11,41.54,32.96,270.52,42095.31,2151.91,0,,
1,1,3.3,2,28.46,31.25,1029.6,38648.83,582.24,0,,
1,1,3.3,4,35.98,31.25,463.8,38610.97,555.29,0,,
0,0,0,3,35.66,31.25,1073.23,38609.84,529.24,0,,
2,3,2.3,2,22.47,31.25,433.54,38654.96,525.1,0,,
1,0,0,8,68.42,31.25,161.48,38677.01,577.51,0,,
2,3,5,10,67.98,31.25,97.78,38671.28,565.78,0,,
3,3,5,12,68.21,31.25,77.36,38649.25,547.49,0,,
3,3,5,11,68.22,31.25,40.44,38645.99,548.55,0,,
3,3,5,12,67.96,31.25,79.63,38655,546.77,0,,
3,3,5,12,68.22,31.25,45.16,38640.79,543.63,0,,
2,2,5,12,68.04,31.25,41.63,38630.07,531.94,0,,
3,4,2.8,12,63.1,31.25,234.76,38607.45,523.44,0,,
3,3,5,12,64.59,31.25,47,38644.4,532.71,0,,
3,3,5,12,66.66,31.25,204.68,38632.84,529.04,0,,
5,6,2.2,12,66.18,31.25,63.68,38621.98,522.9,0,,
3,3,5,12,64.31,31.25,101.97,38641.94,530.32,0,,
2,4,2.2,12,60.91,31.25,126.92,38610.56,513.45,0,,
3,4,2.2,10,51.86,31.25,54.46,38624.13,510.94,0,,
4,6,2.2,12,51.11,31.25,13.82,38615.59,508.66,0,,
2,4,2.2,12,48.08,31.25,133.1,38601.18,504.32,0,,
4,6,2.2,10,42.98,31.25,47.52,38612.68,503.07,0,,
3,6,2.2,12,46.78,31.25,46.77,38610.34,504.85,0,,
3,4,2.2,10,36.12,31.25,40.45,38614.55,498.11,0,,
2,4,2.2,11,35.03,31.25,38.19,38595.33,496.03,0,,
5,6,1.9,10,33.8,31.25,18.14,38618.72,497.21,0,,
5,7,1.9,11,22.59,31.25,42.6,38610.35,488.97,0,,
3,5,2.2,10,25.73,31.25,7.92,38609.02,491.21,0,,
4,6,2.2,10,24.44,31.25,50.54,38603.19,490.17,0,,
4,6,2.2,11,25.25,31.25,15.87,38599.04,489.91,0,,
